Title,Org,posting_url,Location,Date published,Date it closes,Problem area (filters),Description,Required degree,MinimumExperienceLevel,Role type,Org's home page,Org's vacancies page,Org's logo,Salary (display)
Applied Statistician,PopVax,https://jobs.popvax.com/29999,Hyderabad.India,2024-03-20,1/1/2050,2. Biosecurity & pandemic preparedness,"""Responsibilities will include: Collating and processing diverse, unstructured biological and chemical data produced by PopVax’s scientific teams on a daily basis; Performing basic statistical analyses such as t-tests, ANOVA, Pearson and Spearman correlations, and generating brief markdown reports; Producing data visualisations to fit specific requests; Liaising with PopVax’s scientific teams to improve and optimize data reporting methods and formats.""",Undergraduate degree or less,Junior (1-4 years experience),Data,https://popvax.com/,https://jobs.popvax.com/,https://80000hours.org/wp-content/uploads/2023/08/popvax_logo.jpeg,Not Found
Communications Associate,PopVax,https://jobs.popvax.com/28261,Hyderabad.India,2023-09-05,1/1/2050,2. Biosecurity & pandemic preparedness,"""We’re looking for a creative professional to serve as an associate on our communications staff, reporting to our Head of Communications and working closely with our Managing Director. Responsibilities will include writing, editing, proofreading, and distributing communications including: Internal memos, guides, progress reports, and other intra-company communications. Regular reports and discussions with our funders, investors, suppliers, clients, and subcontractors. Scientific writing explaining our work to the general public. Grant and [...]""",Undergraduate degree or less,Junior (1-4 years experience),Outreach,https://popvax.com/,https://jobs.popvax.com/,https://80000hours.org/wp-content/uploads/2023/08/popvax_logo.jpeg,Not Found
"Junior Scientist, Cell Culture and Bioassays",PopVax,https://jobs.popvax.com/28259,Hyderabad.India,2023-08-17,1/1/2050,2. Biosecurity & pandemic preparedness,"""We are looking for exceptional junior scientists for our Hyderabad labs to confidently and correctly perform high volumes of bioassays, including ELISA and cell-based assays such as pseudovirus neutralization, on a daily basis.""",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)",Research,https://popvax.com/,https://jobs.popvax.com/,https://80000hours.org/wp-content/uploads/2023/08/popvax_logo.jpeg,Not Found
"Senior Executive, Microbiology",PopVax,https://jobs.popvax.com/28310,Hyderabad.India,2023-08-25,1/1/2050,2. Biosecurity & pandemic preparedness,"""We’re looking for an experienced microbiologist to aid our efforts in microbial testing for Quality Control. Candidates will have 4+ years of experience performing microbiology testing for QC in a cGMP environment, ideally for vaccines in particular.""",Master's degree,Mid (5-9 years experience),"Engineering, Research",https://popvax.com/,https://jobs.popvax.com/,https://80000hours.org/wp-content/uploads/2023/08/popvax_logo.jpeg,Not Found
"Senior Executive, QA Validation",PopVax,https://jobs.popvax.com/30107,Hyderabad.India,2024-04-08,1/1/2050,2. Biosecurity & pandemic preparedness,,Master's degree,Mid (5-9 years experience),"Operations, Other",https://popvax.com/,https://jobs.popvax.com/,https://80000hours.org/wp-content/uploads/2023/08/popvax_logo.jpeg,Not Found
Systems Engineer / Robotics Engineer / Automation Engineer,PopVax,https://jobs.popvax.com/29450,Hyderabad.India,2024-01-16,1/1/2050,2. Biosecurity & pandemic preparedness,"""We are looking for a resourceful engineer with a creative and problem-solving mindset to join our systems engineering team and help us build these systems. What you’ll do: Provide support in design, development, and implementation of robotic systems for bioprocess control and monitoring; Develop and execute validation protocols for automated processes; Troubleshoot and resolve technical issues related to automation systems, ensuring minimal downtime; Collaborate with cross-functional teams to understand process requirements and integrate [...]""",Undergraduate degree or less,Junior (1-4 years experience),Engineering,https://popvax.com/,https://jobs.popvax.com/,https://80000hours.org/wp-content/uploads/2023/08/popvax_logo.jpeg,Not Found
"Trainee, Patent Associate ",PopVax,https://jobs.popvax.com/29321,Hyderabad.India,2024-01-03,1/1/2050,2. Biosecurity & pandemic preparedness,"""We’re looking for a Patent Associate - Trainee to join our Legal & IP team, reporting to the Vice President - Legal & IP. Responsibilities: Conducting patentability, freedom-to-operate, validity, & state of the art searches on free and paid databases and preparing search reports. Identifying and preparing literature review, technological trends, and competitive intelligence reports. Proactively identifying and researching potential FTO issues. Providing IP support to PopVax teams across R&D, Manufacturing, Clinical, and Regulatory.""",Master's degree,Entry-level,Research,https://popvax.com/,https://jobs.popvax.com/,https://80000hours.org/wp-content/uploads/2023/08/popvax_logo.jpeg,Not Found
Research Associate (Expression of Interest),Precision Development,https://precisiondev.bamboohr.com/careers/84,"Various.Global,.Kenya,.India,.Pakistan,.Nigeria,.Ethiopia",2023-09-05,1/1/2050,A. Global health & development,"""At PxD, Research Associates have opportunities to work closely with PxD and affiliated researchers and substantially contribute to PxD's research programs that test new ideas and measure their impacts. Responsibilities may include: Support the implementation of research activities for one or more workstreams with moderate oversight. Carry out day-to-day basic data management, including cleaning and merging datasets to prepare them for analysis. Produce accurate and organized summaries of data including basic analysis for descriptive [...]""",Undergraduate degree or less,Mid (5-9 years experience),Research,https://precisiondev.org/,https://precisiondev.org/who-we-are/job-openings/,https://80000hours.org/wp-content/uploads/2023/09/precision_dev_logo.png,Not Found
Fellows Program,"Princeton University, Center for Information Technology Policy",https://citp.princeton.edu/programs/fellows/,"""Princeton, NJ.USA""",2023-10-10,1/1/2050,6. Early career policy,"""The Center for Information Technology Policy Fellows Program is a competitive, fully-funded, in-residence program that supports scholars and practitioners in research and policy work tied to the Center’s mission. CITP research falls into the following three areas: Platforms and Digital Infrastructure; Data Science, AI and Society; and Privacy and Security. Fellows accepted into this program conduct research with members of the Center’s community — including faculty, scholars and other fellows — across disciplines, and engage in our public [...]""",Master's degree,Multiple experience levels,"Policy, Research",https://citp.princeton.edu/,https://puwebp.princeton.edu/AcadHire/apply/index.xhtml,https://80000hours.org/wp-content/uploads/2019/11/Princeton-University.png,Not Found
"Postdoctoral Research Associate, Program on Science and Global Security","Princeton University, School of Public and International Affairs",https://puwebp.princeton.edu/AcadHire/apply/application.xhtml?listingId=33301,"""Princeton, NJ.USA""",2024-01-19,1/1/2050,6. Early career policy,"""Princeton University's Program on Science and Global Security (SGS), based in the School of Public and International Affairs, is seeking a postdoctoral research associate to advance our work on nuclear arms control, disarmament, nonproliferation, verification, and on the global security challenges associated with emerging technologies such as artificial intelligence, quantum technologies, and space-based systems, including large satellite constellations.""",Doctoral degree,Entry-level,"Research, Policy",https://spia.princeton.edu/,https://puwebp.princeton.edu/AcadHire/apply/index.xhtml,https://80000hours.org/wp-content/uploads/2019/11/Princeton-University.png,Not Found
